"Felix Häusler" pushed new code on "Wed, 29 Dec 2021 15:58:28 +0100" with title: "Fix ESLint error and reduce PlantUML compression level (#2820)" and stats:	 1 file changed, 3 insertions(+), 3 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 27 Dec 2021 16:22:43 +0100" with title: "Fix preference migrations (#2811)" and stats:	 3 files changed, 37 insertions(+), 7 deletions(-)	
"Rodrigo C" pushed new code on "Mon, 27 Dec 2021 10:09:14 -0500" with title: "Add support to PlantUML diagrams (#2625)" and stats:	 23 files changed, 148 insertions(+), 12 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 27 Dec 2021 16:03:22 +0100" with title: "Fix build (#2810)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Ran Luo" pushed new code on "Sun, 26 Dec 2021 16:21:00 +0800" with title: "feat: support solidity in codeblock and optimization of file icons (#2775)" and stats:	 12 files changed, 2310 insertions(+), 2373 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 25 Dec 2021 17:32:52 +0100" with title: "Enable macOS arm64 build target (#2788)" and stats:	 2 files changed, 18 insertions(+), 15 deletions(-)	
"Pieter Edwards" pushed new code on "Sat, 25 Dec 2021 14:13:39 +0000" with title: "Fixed some grammar mistakes (#2783)" and stats:	 1 file changed, 5 insertions(+), 4 deletions(-)	
"Pieter Edwards" pushed new code on "Sat, 25 Dec 2021 14:10:02 +0000" with title: "Fixed grammar mistakes (#2784)" and stats:	 1 file changed, 5 insertions(+), 5 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 25 Dec 2021 14:50:51 +0100" with title: "Code cleanup and improve issue templates (#2777)" and stats:	 4 files changed, 25 insertions(+), 13 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 25 Dec 2021 14:45:42 +0100" with title: "fix animated scrolling (#2780)" and stats:	 2 files changed, 26 insertions(+), 27 deletions(-)	
"Ran Luo" pushed new code on "Sat, 25 Dec 2021 21:28:18 +0800" with title: "feat: change app name to MarkText and update spec test results (#2795)" and stats:	 13 files changed, 2212 insertions(+), 3368 deletions(-)	
"bolshoytoster" pushed new code on "Sat, 25 Dec 2021 13:05:58 +0000" with title: "Removed the space in 'Mark Text' (#2763) (#2782)" and stats:	 74 files changed, 372 insertions(+), 365 deletions(-)	
"Ran Luo" pushed new code on "Sat, 25 Dec 2021 20:53:49 +0800" with title: "fix: preference window style errors (#2794)" and stats:	 4 files changed, 30 insertions(+), 21 deletions(-)	
"brainchild0" pushed new code on "Sat, 25 Dec 2021 07:23:27 -0500" with title: "Improve templates in prefs box (#2230)" and stats:	 15 files changed, 152 insertions(+), 75 deletions(-)	
"Juuso Laine" pushed new code on "Sat, 25 Dec 2021 12:49:03 +0200" with title: "Add katex mhchem (#2327)" and stats:	 3 files changed, 3 insertions(+)	
"Felix Häusler" pushed new code on "Sat, 25 Dec 2021 11:06:34 +0100" with title: "Fix slow startup on Windows (#2786)" and stats:	 5 files changed, 194 insertions(+), 121 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 25 Dec 2021 10:49:20 +0100" with title: "Fix wrong HTML escape in paste handler (#2787)" and stats:	 1 file changed, 1 insertion(+), 2 deletions(-)	
"ic-e" pushed new code on "Fri, 24 Dec 2021 01:51:50 +0800" with title: "docs: fix link from src/i18n/*.md to another (#2464)" and stats:	 4 files changed, 35 insertions(+), 35 deletions(-)	
"Beni Cherniavsky-Paskin" pushed new code on "Thu, 23 Dec 2021 19:50:15 +0200" with title: "build instructions: Correct case for libX11 (#2492)" and stats:	 1 file changed, 5 insertions(+), 5 deletions(-)	
"Adrian Bill" pushed new code on "Thu, 23 Dec 2021 09:49:32 -0800" with title: "Add winget to install options for windows (#2523)" and stats:	 1 file changed, 13 insertions(+), 5 deletions(-)	
"pan93412" pushed new code on "Fri, 24 Dec 2021 01:10:44 +0800" with title: "fix async exists call (#2490)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"ekoster1" pushed new code on "Wed, 22 Dec 2021 15:21:18 -0600" with title: "Open non-markdown files in default application #2396 (#2563)" and stats:	 1 file changed, 6 insertions(+), 3 deletions(-)	
"m-mcneive" pushed new code on "Wed, 22 Dec 2021 15:07:31 -0600" with title: "added automatic call to search for global search function (#2572)" and stats:	 1 file changed, 4 insertions(+)	
"Nikolai" pushed new code on "Wed, 22 Dec 2021 21:40:52 +0100" with title: "add link to FAC in Aidou preference (#2692)" and stats:	 1 file changed, 1 insertion(+)	
"Felix Häusler" pushed new code on "Sat, 18 Dec 2021 14:52:24 +0100" with title: "Update Electron to v15 (#2772)" and stats:	 26 files changed, 719 insertions(+), 725 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 16 Dec 2021 21:14:06 +0100" with title: "fix XSS on language input and hyperlinks (#2548, #2601) (#2765)" and stats:	 13 files changed, 75 insertions(+), 35 deletions(-)	
"Kiyoka Nishiyama" pushed new code on "Sat, 11 Dec 2021 20:36:57 +0900" with title: "fix: issue 2652 Fixed a problem with image links being absolute paths. (#2676)" and stats:	 2 files changed, 7 insertions(+), 5 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 5 Dec 2021 16:27:59 +0100" with title: "Update actions and enable Windows pipeline (#2727)" and stats:	 7 files changed, 196 insertions(+), 115 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 2 Dec 2021 17:33:14 +0100" with title: "Enable Github Actions for Linux and macOS (replacing Travis CI) (#2691)" and stats:	 12 files changed, 3053 insertions(+), 2641 deletions(-)	
